Chip n°	Chip Id	Group name	Condition key *	Condition description	Cells collected	Experiment number	Conditionn°	References
215	10244302		GM+45_1		45 min after addition of malate	exp. N°1	89	Buescher et al., accompanying paper
216	10244602		GM+60_1		60 min after addition of malate	exp. N°1	90	Buescher et al., accompanying paper
217	10319902		GM+90_1		90 min after addition of malate	exp. N°1	91	Buescher et al., accompanying paper
218	10322702		GM+120_1		120 min after addition of malate	exp. N°1	92	Buescher et al., accompanying paper
219	17158702		GM+150_1		150 min after addition of malate	exp. N°1	93	Buescher et al., accompanying paper
220	13973302		GM-0.1_2		 before addition of malate	exp. N°2	83	Buescher et al., accompanying paper
221	17239902		GM-0.2_2		5 min before addition of malate	exp. N°2 	84	Buescher et al., accompanying paper
222	10211402		GM+5_2		5 min after addition of malate	exp. N°2	85	Buescher et al., accompanying paper
223	10216402		GM+10_2		10 min after addition of malate	exp. N°2	86	Buescher et al., accompanying paper
224	10226802		GM+15_2		15 min after addition of malate	exp. N°2	87	Buescher et al., accompanying paper
225	16959802		GM+25_2		25 min after addition of malate	exp. N°2	88	Buescher et al., accompanying paper
226	10229502		GM+45_2		45 min after addition of malate	exp. N°2	89	Buescher et al., accompanying paper
227	10235002		GM+60_2		60 min after addition of malate	exp. N°2	90	Buescher et al., accompanying paper
228	20971602		GM+90_2		90 min after addition of malate	exp. N°2	91	Buescher et al., accompanying paper
229	10236602		GM+150_2		150 min after addition of malate	exp. N°2	93	Buescher et al., accompanying paper
230	16991902		GM-0.1_3		before addition of malate	exp. N°3	83	Buescher et al., accompanying paper
231	17183602		GM-0.2_3		5 min before addition of malate	exp. N°3	84	Buescher et al., accompanying paper
232	10404402		GM+5_3		5 min after addition of malate	exp. N°3	85	Buescher et al., accompanying paper
233	10410902		GM+10_3		10 min after addition of malate	exp. N°3	86	Buescher et al., accompanying paper
234	10216702		GM+15_3		15 min after addition of malate	exp. N°3	87	Buescher et al., accompanying paper
235	10217102		GM+25_3		25 min after addition of malate	exp. N°3	88	Buescher et al., accompanying paper
236	10218302		GM+45_3		45 min after addition of malate	exp. N°3	89	Buescher et al., accompanying paper
237	10219302		GM+60_3		60 min after addition of malate	exp. N°3	90	Buescher et al., accompanying paper
238	16981502		GM+90_3		90 min after addition of malate	exp. N°3	91	Buescher et al., accompanying paper
239	20975802		GM+120_3		120 min after addition of malate	exp. N°3	92	Buescher et al., accompanying paper
240	16960402		GM+150_3		150 min after addition of malate	exp. N°3	93	Buescher et al., accompanying paper
241	10410402		MG-0.1_1		before addition of glucose	exp. N°1	94	Buescher et al., accompanying paper
242	10226702		MG+5_1		5 min after addition of glucose	exp. N°1 	96	Buescher et al., accompanying paper
243	16976802		MG+10_1		10 min after addition of glucose	exp. N°1	97	Buescher et al., accompanying paper
244	17176602		MG+15_1		15 min after addition of glucose	exp. N°1	98	Buescher et al., accompanying paper
245	17138402		MG+25_1		25 min after addition of glucose	exp. N°1	99	Buescher et al., accompanying paper
246	10229802		MG+45_1		45 min after addition of glucose	exp. N°1	100	Buescher et al., accompanying paper
247	10237002		MG+120_1		120 min after addition of glucose	exp. N°1	103	Buescher et al., accompanying paper
248	17170002		MG+150_1		150 min after addition of glucose	exp. N°1	104	Buescher et al., accompanying paper
249	10238002		MG-0.1_2		before addition of glucose	exp. N°2	94	Buescher et al., accompanying paper
250	10331702		MG-0.2_2		5 min before addition of glucose	exp. N°2	95	Buescher et al., accompanying paper
251	10374502		MG+t5_2		5 min after addition of glucose	exp. N°2	96	Buescher et al., accompanying paper
252	10217502		MG+10_2		10 min after addition of glucose	exp. N°2	97	Buescher et al., accompanying paper
253	17000602		MG+15_2		15 min after addition of glucose	exp. N°2	98	Buescher et al., accompanying paper
254	10218502		MG+25_2		25 min after addition of glucose	exp. N°2	99	Buescher et al., accompanying paper
255	10218602		MG+45_2		45 min after addition of glucose	exp. N°2	100	Buescher et al., accompanying paper
256	10218902		MG+60_2		60 min after addition of glucose	exp. N°2	101	Buescher et al., accompanying paper
257	10219102		MG+90_2		90 min after addition of glucose	exp. N°2	102	Buescher et al., accompanying paper
258	17176202		MG+120_2		150 min after addition of glucose	exp. N°2	103	Buescher et al., accompanying paper
259	10223302		MG-0.1_3		before addition of glucose	exp. N°3	94	Buescher et al., accompanying paper
260	10226602		MG-0.2_3		5 min before addition of glucose	exp. N°3	95	Buescher et al., accompanying paper
261	20974702		MG+5_3		5 min after addition of glucose	exp. N°3	96	Buescher et al., accompanying paper
262	10326302		MG+10_3		10 min after addition of glucose	exp. N°3	97	Buescher et al., accompanying paper
263	24698102		MG+15_3		15 min after addition of glucose	exp. N°3	98	Buescher et al., accompanying paper
264	14627102		MG+25_3		25 min after addition of glucose	exp. N°3	99	Buescher et al., accompanying paper
265	14632602		MG+45_3		45 min after addition of glucose	exp. N°3	100	Buescher et al., accompanying paper
266	17245002		MG+60_3		60 min after addition of glucose	exp. N°3	101	Buescher et al., accompanying paper
267	14625202		MG+90_3		90 min after addition of glucose	exp. N°3	102	Buescher et al., accompanying paper
268	14633902_01		MG+120_3		120 min after addition of glucose	exp. N°3	103	Buescher et al., accompanying paper
269	14630502		MG+150_3		150 min after addition of glucose	exp. N°3	104	Buescher et al., accompanying paper
